tf,target,weight,importance,interaction,edge_color,edge_width
ZNF264,BMP8A,0.14169837534427643,0.14169837534427643,activation,#00FF00,0.7135654116166189
TMED2,BMP8A,-0.10820887982845306,0.10820887982845306,repression,#FF0000,0.5449188368445343
TAOK2,BMP8A,0.08907677233219147,0.08907677233219147,activation,#00FF00,0.5
MTMR12,BMP8B,0.294479101896286,0.294479101896286,activation,#00FF00,1.4829393847782268
KCTD7,BMP8B,0.16207198798656464,0.16207198798656464,activation,#00FF00,0.8161629555608596
PLIN5,BMP8B,0.13826103508472443,0.13826103508472443,activation,#00FF00,0.696255635754939
POU2F1,BMPER,0.18554313480854034,0.18554313480854034,activation,#00FF00,0.9343590781518565
GSG1L,BMPER,0.12336577475070953,0.12336577475070953,activation,#00FF00,0.6212460067062362
OGDH,BMPER,-0.08670631796121597,0.08670631796121597,repression,#FF0000,0.5
HNRNPM,BMPR1A,-0.2435300052165985,0.2435300052165985,repression,#FF0000,1.2263696601402048
TCTN3,BMPR1A,0.16950878500938416,0.16950878500938416,activation,#00FF00,0.8536132164816657
ZNF160,BMPR1A,-0.13628801703453064,0.13628801703453064,repression,#FF0000,0.6863199012506237
ZNF587,BMPR1B,0.12975174188613892,0.12975174188613892,activation,#00FF00,0.6534044930437927
PAIP2,BMPR1B,0.11279888451099396,0.11279888451099396,activation,#00FF00,0.5680332061706593
FBXW11,BMPR1B,0.10600391775369644,0.10600391775369644,activation,#00FF00,0.5338150774213936
NDUFB3,BMPR2,0.15862247347831726,0.15862247347831726,activation,#00FF00,0.7987918725546178
KIDINS220,BMPR2,0.1571933478116989,0.1571933478116989,activation,#00FF00,0.7915950741292676
DDX21,BMPR2,0.1299556940793991,0.1299556940793991,activation,#00FF00,0.6544315565537323
DDX21,BMS1,0.18086081743240356,0.18086081743240356,activation,#00FF00,0.9107798400857537
PRDX3,BMS1,-0.1542380005121231,0.1542380005121231,repression,#FF0000,0.776712520908963
PPA1,BMS1,0.13483765721321106,0.13483765721321106,activation,#00FF00,0.6790161717591768
AP3M1,BMS1P4,0.1651095598936081,0.1651095598936081,activation,#00FF00,0.831459575884828
PPM1A,BMS1P4,0.1621553748846054,0.1621553748846054,activation,#00FF00,0.8165828757334046
ARPC3,BMS1P4,0.13735084235668182,0.13735084235668182,activation,#00FF00,0.6916720825062996
HNRNPA1L2,BNC1,0.16104966402053833,0.16104966402053833,activation,#00FF00,0.8110147312438858
RPS27A,BNC1,0.13970668613910675,0.13970668613910675,activation,#00FF00,0.7035356528134831
DIS3L2,BNC1,0.10428227484226227,0.10428227484226227,activation,#00FF00,0.5251452191413002
SPATS2L,BNC2,0.16755519807338715,0.16755519807338715,activation,#00FF00,0.8437753332827468
KLHL20,BNC2,0.13658085465431213,0.13658085465431213,activation,#00FF00,0.6877945744512763
ARFGAP1,BNC2,0.11546409875154495,0.11546409875154495,activation,#00FF00,0.5814547058313615
TPI1,BNIP3,0.3315277099609375,0.3315277099609375,activation,#00FF00,1.6695089569363009
CAPN15,BNIP3,-0.1440718173980713,0.1440718173980713,repression,#FF0000,0.7255176033898093
G3BP2,BNIP3,0.1178787425160408,0.1178787425160408,activation,#00FF00,0.5936143813924517
BIN3,BNIP3L,0.29143622517585754,0.29143622517585754,activation,#00FF00,1.4676160504475708
PIGY,BNIP3L,-0.11580276489257812,0.11580276489257812,repression,#FF0000,0.5831601625364211
CHMP5,BNIP3L,-0.0945889875292778,0.0945889875292778,repression,#FF0000,0.5
ATP6V0E1,BOD1,0.3759344518184662,0.3759344518184662,activation,#00FF00,1.8931326573148832
FBXW11,BOD1,0.22484630346298218,0.22484630346298218,activation,#00FF00,1.1322821781916694
NBEAL2,BOD1,-0.18159714341163635,0.18159714341163635,repression,#FF0000,0.9144878342612599
IRF3,BOD1L1,-0.1219816654920578,0.1219816654920578,repression,#FF0000,0.6142759021410106
CLASRP,BOD1L1,0.10066930204629898,0.10066930204629898,activation,#00FF00,0.5069509920441486
ATP2C1,BOD1L1,-0.09901530295610428,0.09901530295610428,repression,#FF0000,0.5
DPP9,BOK,0.16017018258571625,0.16017018258571625,activation,#00FF00,0.8065858340845272
ITPR1,BOK,-0.11814820021390915,0.11814820021390915,repression,#FF0000,0.5949713178613811
CNIH1,BOK,0.11540362983942032,0.11540362983942032,activation,#00FF00,0.5811501961708563
ITM2B,BOLA1,-0.17409870028495789,0.17409870028495789,repression,#FF0000,0.876727135571723
PIGY,BOLA1,0.15157550573349,0.15157550573349,activation,#00FF00,0.7633047159286557
MECP2,BOLA1,-0.13253261148929596,0.13253261148929596,repression,#FF0000,0.6674084105778342
MDH1,BOLA3,0.24301250278949738,0.24301250278949738,activation,#00FF00,1.223763618740578
CCT7,BOLA3,0.19066132605075836,0.19066132605075836,activation,#00FF00,0.9601332920877075
RBBP4,BOLA3,-0.16714957356452942,0.16714957356452942,repression,#FF0000,0.841732687282596
BRF1,BOLL,-0.12332232296466827,0.12332232296466827,repression,#FF0000,0.6210271919772976
MKS1,BOLL,0.11987075954675674,0.11987075954675674,activation,#00FF00,0.6036457910611692
POLR2B,BOLL,0.09205572307109833,0.09205572307109833,activation,#00FF00,0.5
RPL30,BOP1,0.25350022315979004,0.25350022315979004,activation,#00FF00,1.27657773523814
CCT7,BOP1,0.1924889087677002,0.1924889087677002,activation,#00FF00,0.969336642588442
PEX2,BOP1,0.16986028850078583,0.16986028850078583,activation,#00FF00,0.8553833195821232
NDUFB2,BPGM,0.19268101453781128,0.19268101453781128,activation,#00FF00,0.9703040498194013
DNAJB6,BPGM,0.15982495248317719,0.15982495248317719,activation,#00FF00,0.8048473225481584
POU2F1,BPGM,-0.12219039350748062,0.12219039350748062,repression,#FF0000,0.6153270157609038
USP32,BPTF,0.1245785653591156,0.1245785653591156,activation,#00FF00,0.6273533839262602
MKS1,BPTF,0.1208949163556099,0.1208949163556099,activation,#00FF00,0.6088032452175325
G3BP2,BPTF,0.10806374251842499,0.10806374251842499,activation,#00FF00,0.5441879536278461
NDUFB2,BRAF,0.32538536190986633,0.32538536190986633,activation,#00FF00,1.6385772888440866
SFT2D1,BRAF,0.11879132688045502,0.11879132688045502,activation,#00FF00,0.598209978455904
DPY30,BRAF,0.11709977686405182,0.11709977686405182,activation,#00FF00,0.5896916621322892
GSG1L,BRAP,0.22549909353256226,0.22549909353256226,activation,#00FF00,1.1355695018011844
FOXJ1,BRAP,0.11444438248872757,0.11444438248872757,activation,#00FF00,0.5763196133996977
POU2F1,BRAP,0.09654149413108826,0.09654149413108826,activation,#00FF00,0.5
TUBA1C,BRCA1,0.12038566172122955,0.12038566172122955,activation,#00FF00,0.606238738095158
ARF4,BRCA1,-0.11911509931087494,0.11911509931087494,repression,#FF0000,0.5998404333360068
MXD3,BRCA1,0.11518624424934387,0.11518624424934387,activation,#00FF00,0.5800554846917336
SH3GL1,BRCA2,0.14035724103450775,0.14035724103450775,activation,#00FF00,0.7068117205213037
RPL18,BRCA2,-0.1261538863182068,0.1261538863182068,repression,#FF0000,0.6352863933617675
HNRNPK,BRCA2,-0.11085715144872665,0.11085715144872665,repression,#FF0000,0.558255016770393
ALG12,BRD1,0.25116485357284546,0.25116485357284546,activation,#00FF00,1.264817268990477
EIF3L,BRD1,0.18227127194404602,0.18227127194404602,activation,#00FF00,0.9178826142122838
TRMU,BRD1,0.1663578897714615,0.1663578897714615,activation,#00FF00,0.8377459219417925
RNF5P1,BRD2,0.21431100368499756,0.21431100368499756,activation,#00FF00,1.0792284610667064
RPS27A,BRD2,0.1768052577972412,0.1768052577972412,activation,#00FF00,0.8903568318940986
ZNF205,BRD2,-0.13299202919006348,0.13299202919006348,repression,#FF0000,0.6697219486120963
FUBP3,BRD3,0.22375090420246124,0.22375090420246124,activation,#00FF00,1.1267659609286342
ZER1,BRD3,0.13605737686157227,0.13605737686157227,activation,#00FF00,0.6851584422744533
IER5L,BRD3,0.10392815619707108,0.10392815619707108,activation,#00FF00,0.5233619466358601
CTNNA1,BRD8,0.20985670387744904,0.20985670387744904,activation,#00FF00,1.0567974750521194
PAIP2,BRD8,0.18013609945774078,0.18013609945774078,activation,#00FF00,0.9071303015597137
KDELR2,BRD8,-0.134787455201149,0.134787455201149,repression,#FF0000,0.6787633642071211
PDCD6,BRD9,0.5146071910858154,0.5146071910858154,activation,#00FF00,2.5914615551225815
RPS27A,BRD9,0.15179744362831116,0.15179744362831116,activation,#00FF00,0.7644223519275627
PIGY,BRD9,-0.12450536340475082,0.12450536340475082,repression,#FF0000,0.6269847531457694
PEX2,BRDT,0.1504105031490326,0.1504105031490326,activation,#00FF00,0.7574379898868575
RPS5,BRDT,0.126495361328125,0.126495361328125,activation,#00FF00,0.6370059949832896
ITPR1,BRDT,0.12106191366910934,0.12106191366910934,activation,#00FF00,0.6096442111527917
PEX2,BREA2,0.17832884192466736,0.17832884192466736,activation,#00FF00,0.8980293047250534
TFB2M,BREA2,0.11895280331373215,0.11895280331373215,activation,#00FF00,0.5990231423139781
CHMP5,BREA2,0.1115877628326416,0.1115877628326416,activation,#00FF00,0.5619342333572339
TRMT61A,BRF1,0.29225954413414,0.29225954413414,activation,#00FF00,1.471762124317022
EIF5,BRF1,0.17123404145240784,0.17123404145240784,activation,#00FF00,0.8623012718028317
GNE,BRF1,-0.06786184757947922,0.06786184757947922,repression,#FF0000,0.5
LITAF,BRF2,-0.2652909755706787,0.2652909755706787,repression,#FF0000,1.3359536672268004
PPA1,BRF2,-0.13163867592811584,0.13163867592811584,repression,#FF0000,0.6629067252541853
IRF3,BRF2,-0.1286935657262802,0.1286935657262802,repression,#FF0000,0.648075724063641
NDUFB2,BRI3,0.10973381996154785,0.10973381996154785,activation,#00FF00,0.5525981382558502
